"AMACode,Description,AMAFee,MedicareItem,ScheduleFee,",
"AA007,""PROFESSIONAL ATTENDANCE, by a GENERAL PRACTITIONER on NOT MORE THAN ONE PATIENT ON ONE OCCASION - EACH ATTENDANCE in unsociable hours if: ",
"AA080,""GENERAL PRACTITIONER - COMPREHENSIVE SERVICE (LEVEL D) - AT CONSULTING ROOMS - OUT-OF-HOURS - involving, where clinically relevant:",
 | a) taking an extensive history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation.",
" | Rendered between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays"",370,,,,",
"AA090,GENERAL PRACTITIONER - MINOR SERVICE (LEVEL A) - AT A PLACE OTHER THAN THE CONSULTING ROOMS - A service characterised by the straightforward nature of the general practitioner's task. This service is for an obvious problem that requires a short patient history and a limited (if any) examination and management ,112,,,,",
"AA100,""GENERAL PRACTITIONER - SPECIFIC SERVICE (LEVEL B) - AT A PLACE OTHER THAN THE CONSULTING ROOMS - involving, where clinically relevant:",
 | a) taking a history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation"",152,,,,",
"AA110,""GENERAL PRACTITIONER - EXTENDED SERVICE (LEVEL C) - AT A PLACE OTHER THAN THE CONSULTING ROOMS - involving, where clinically relevant:",
 | a) taking a detailed history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation"",225,,,,",
"AA120,""GENERAL PRACTITIONER - COMPREHENSIVE SERVICE (LEVEL D) - AT A PLACE OTHER THAN THE CONSULTING ROOMS - involving, where clinically relevant:",
 | a) taking an extensive history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation"",315,,,,",
"AA130,GENERAL PRACTITIONER - MINOR SERVICE (LEVEL A) - AT A PLACE OTHER THAN THE CONSULTING ROOMS - OUT-OF-HOURS - A service characterised by the straightforward nature of the general practitioner's task. This service is for an obvious problem that requires a short patient history and a limited (if any) examination and management rendered between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays,132,,,,",
"AA140,""GENERAL PRACTITIONER - SPECIFIC SERVICE (LEVEL B) - AT A PLACE OTHER THAN THE CONSULTING ROOMS - OUT-OF-HOURS - involving, where clinically relevant:",
 | a) taking a history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation.",
" | Rendered between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays"",196,,,,",
"AA150,""GENERAL PRACTITIONER - EXTENDED SERVICE (LEVEL C) - AT A PLACE OTHER THAN THE CONSULTING ROOMS - OUT-OF-HOURS -  involving, where clinically relevant:",
 | a) taking a detailed history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation.",
" | Rendered between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays"",300,,,,",
"AA160,""GENERAL PRACTITIONER - COMPREHENSIVE SERVICE (LEVEL D) - AT A PLACE OTHER THAN THE CONSULTING ROOMS - OUT-OF-HOURS - involving, where clinically relevant:",
 | a) taking an extensive history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation.",
" | Rendered between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays"",440,,,,",
"AA170,""GENERAL PRACTITIONER - Professional service for the issuing of a REPEAT PRESCRIPTION when the patient does not need, or request, to see the prescribing medical practitioner "",13.2,,,,",
"AA220,GENERAL PRACTITIONER - BRIEF CONSULTATION - AT CONSULTING ROOMS ,53,,,,",
"AA230,GENERAL PRACTITIONER - STANDARD CONSULTATION - AT CONSULTING ROOMS - An attendance of more than five minutes duration but not more than 15 minutes duration ,69,,,,",
"AA240,""GENERAL PRACTITIONER - STANDARD CONSULTATION - AT CONSULTING ROOMS",
" | - An attendance of MORE THAN 15 MINUTES DURATION BUT NOT MORE THAN 30 MINUTES DURATION "",134,,,,",
"AA250,""GENERAL PRACTITIONER - STANDARD CONSULTATION - AT CONSULTING ROOMS",
" | - An attendance of MORE THAN 30 MINUTES DURATION BUT NOT MORE THAN 45 MINUTES DURATION "",200,,,,",
"AA260,""GENERAL PRACTITIONER - STANDARD CONSULTATION - AT CONSULTING ROOMS",
" | - An attendance of MORE THAN 45 MINUTES DURATION BUT NOT MORE THAN 60 MINUTES DURATION "",270,,,,",
"AA270,""GENERAL PRACTITIONER - STANDARD CONSULTATION - AT CONSULTING ROOMS",
" | - An attendance of MORE THAN 60 MINUTES DURATION BUT NOT MORE THAN 75 MINUTES DURATION "",300,,,,",
"AA280,""GENERAL PRACTITIONER - STANDARD CONSULTATION - AT CONSULTING ROOMS ",
" | - An attendance of MORE THAN 75 MINUTES DURATION"",335,,,,",
"AA290,""GENERAL PRACTITIONER - BRIEF CONSULTATION - AT CONSULTING ROOMS - OUT-OF-HOURS ",
" | - Professional attendance between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays"",98,,,,",
"AA300,""GENERAL PRACTITIONER - STANDARD CONSULTATION - AT CONSULTING ROOMS - OUT-OF-HOURS ",
" | - An attendance of more than five minutes duration but not more than 15 minutes duration between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays"",114,,,,",
"AA310,""GENERAL PRACTITIONER - STANDARD CONSULTATION - AT CONSULTING ROOMS - OUT-OF-HOURS",
" | - An attendance of more than 15 minutes duration but not more than 30 minutes duration between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays"",176,,,,",
"AA320,""GENERAL PRACTITIONER - STANDARD CONSULTATION - AT CONSULTING ROOMS - OUT-OF-HOURS",
" | - An attendance of more than 30 minutes duration between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays"",245,,,,",
"AA340,""Professional service initiated by the patient and rendered by a medical practitioner to PREPARE AND/OR MANAGE A SHARED HEALTH SUMMARY for the patient’s Personally Controlled Electronic Health Record ",
" | - A service of NOT MORE THAN 15 MINUTES DURATION"",69,,,,",
"AA341,""Professional service initiated by the patient and rendered by a medical practitioner to PREPARE AND/OR MANAGE A SHARED HEALTH SUMMARY for the patient’s Personally Controlled Electronic Health Record",
" | - A service of MORE THAN 15 MINUTES DURATION BUT NOT MORE THAN 30 MINUTES DURATION"",134,,,,",
"AA342,""Professional service initiated by the patient and rendered by a medical practitioner to PREPARE AND/OR MANAGE A SHARED HEALTH SUMMARY for the patient’s Personally Controlled Electronic Health Record ",
" | - A service of MORE THAN 30 MINUTES DURATION BUT NOT MORE THAN 45 MINUTES DURATION"",200,,,,",
"AA343,""Professional service initiated by the patient and rendered by a medical practitioner to PREPARE AND/OR MANAGE A SHARED HEALTH SUMMARY for the patient’s Personally Controlled Electronic Health Record ",
" | - A service of MORE THAN 45 MINUTES DURATION"",270,,,,",
"AA350,""Point-of-Care Testing international normalised ration (INR), performed by or on behalf of a medical practitioner at the time of a consultation"",41,,,,",
"AA355,""Point-of-Care Testing total cholesterol, triglyceride, glucose or lactate, performed by or on behalf of a medical practitioner at the time of a consultation"",28.5,,,,",
"AA360,""Point-of-Care Testing for HbA1c, urine albumin or albumin creatinine ratio (ACR), performed by or on behalf of a medical practitioner at the time of a consultation"",50,,,,",
"AA365,""Point-of-Care Testing troponin, performed by or on behalf of a medical practitioner at the time of a consultation"",59,,,,",
"AA401,""SERVICE provided BY A PRACTICE NURSE or a registered Aboriginal Health Worker, where ONE clinical task is performed on behalf of, and under the supervision of, a medical practitioner; and IN THE CONSULTING ROOMS OF A GENERAL PRACTICE, not being a service to which item AA405, AA411, AA415, AA421 or AA425 applies"",44,,,,",
"AA405,""SERVICE provided BY A PRACTICE NURSE or a registered Aboriginal Health Worker, where TWO clinical tasks are performed on behalf of, and under the supervision of, a medical practitioner; and IN THE CONSULTING ROOMS OF A GENERAL PRACTICE, not being a service to which item AA401, AA411, AA415, AA421 or AA425 applies"",66,,,,",
"AA411,""SERVICE provided BY A PRACTICE NURSE or a registered Aboriginal Health Worker, where THREE or more clinical tasks are performed on behalf of, and under the supervision of, a medical practitioner; and IN THE CONSULTING ROOMS OF A GENERAL PRACTICE, not being a service to which item AA401, AA405, AA415, AA421 or AA425 applies"",99,,,,",
"AA415,""SERVICE provided BY A PRACTICE NURSE or registered Aboriginal Health Worker, where ONE clinical task is performed on behalf of, and under the supervision of, a medical practitioner; and AT A PLACE OTHER THAN CONSULTING ROOMS BUT NOT IN A HOSPITAL OR DAY-HOSPITAL FACILITY, not being a service to which item AA401, AA405, AA411, AA421 or AA425 applies"",66,,,,",
"AA421,""SERVICE provided BY A PRACTICE NURSE or registered Aboriginal Health Worker, where TWO clinical tasks are performed on behalf of, and under the supervision of, a medical practitioner; and AT A PLACE OTHER THAN CONSULTING ROOMS BUT NOT IN A HOSPITAL OR DAY-HOSPITAL FACILITY, not being a service to which item AA401, AA405, AA411, AA415 or AA425 applies"",99,,,,",
"AA425,""SERVICE provided BY A PRACTICE NURSE or registered Aboriginal Health Worker, where THREE OR MORE clinical tasks are performed on behalf of, and under the supervision of, a medical practitioner; and AT A PLACE OTHER THAN CONSULTING ROOMS BUT NOT IN A HOSPITAL OR DAY-HOSPITAL FACILITY, not being a service to which item AA401, AA405, AA411, AA415 or AA421 applies"",148,,,,",
"AA501,""Attendance by a general practitioner to undertake a BRIEF HEALTH CHECK, including:",
" | a) relevant information collection, including taking a patient history;",
 | b) a basic physical examination;,
 | c) initiating interventions and/or referrals as indicated; and,
" | d) providing preventive health advice and information to the patient"",162,,,,",
"AA502,""Attendance by a general practitioner to undertake a STANDARD HEALTH CHECK, including:",
" | a) relevant information collection, including taking a patient history;",
 | b) an extensive physical examination;,
 | c) initiating interventions and/or referrals as indicated; and,
" | d) providing a strategy for preventive health care of the patient"",350,,,,",
"AA503,""Attendance by general practitioner to undertake a LONG HEALTH CHECK, including:",
" | a) comprehensive information collection, including taking a patient history;",
 | b) an extensive examination of the patient’s medical condition and physical function;,
 | c) initiating interventions and/or referrals as indicated; and,
" | d) providing a basic preventive health care management plan"",425,,,,",
"AA504,""Attendance by general practitioner to undertake a PROLONGED HEALTH CHECK, including:",
" | a) comprehensive information collection, including taking a patient history;",
" | b) an extensive examination of the patient’s medical condition and physical, psychological and social function;",
 | c) initiating interventions and/or referrals as indicated; and,
" | d) providing a comprehensive preventive health care management plan"",535,,,,",
"AA511,""Attendance by a general practitioner AT A PLACE OTHER THAN CONSULTING ROOMS to undertake a BRIEF HEALTH CHECK, including:",
" | a) relevant information collection, including taking a patient history;",
 | b) a basic physical examination;,
 | c) initiating interventions and/or referrals as indicated; and,
" | d) providing preventive health advice and information to the patient"",260,,,,",
"AA512,""Attendance by a general practitioner AT A PLACE OTHER THAN CONSULTING ROOMS to undertake a STANDARD HEALTH CHECK, including:",
" | a) relevant information collection, including taking a patient history;",
 | b) an extensive physical examination;,
 | c) initiating interventions and/or referrals as indicated; and,
" | d) providing a strategy for preventive health care of the patient"",560,,,,",
"AA513,""Attendance by a general practitioner AT A PLACE OTHER THAN CONSULTING ROOMS to undertake a LONG HEALTH CHECK, including:",
" | a) comprehensive information collection, including taking a patient history;",
 | b) an extensive examination of the patient’s medical condition and physical function;,
 | c) initiating interventions and/or referrals as indicated; and,
" | d) providing a basic preventive health care management plan"",685,,,,",
"AA514,""Attendance by a general practitioner AT A PLACE OTHER THAN CONSULTING ROOMS to undertake a PROLONGED HEALTH CHECK, including:",
" | a) comprehensive information collection, including taking a patient history;",
" | b) an extensive examination of the patient’s medical condition and physical, psychological and social function;",
 | c) initiating interventions and/or referrals as indicated; and,
" | d) providing a comprehensive preventive health care management plan"",855,,,,",
"AA520,""ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) at CONSULTING ROOMS for a HEALTH ASSESSMENT - of a patient who is OF ABORIGINAL OR TORRES STRAIT ISLANDER DESCENT - not being a health assessment of a patient in respect of whom, in the preceding 9 months, a payment has been made under this item or items AA525 or AA530"",410,,,,",
"AA525,""ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) at a RESIDENTIAL AGED CARE FACILITY, for a HEALTH ASSESSMENT - of a patient who is OF ABORIGINAL OR TORRES STRAIT ISLANDER DESCENT - not being a health assessment of a patient in respect of whom, in the preceding 9 months, a payment has been made under this item or item AA520 and AA530."",575,93470,259.8,,",
"AA530,""ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) AT A PLACE OTHER THAN CONSULTING ROOMS, A HOSPITAL OR A RESIDENTIAL AGED CARE FACILITY, for a HEALTH ASSESSMENT - of a patient who is OF ABORIGINAL OR TORRES STRAIT ISLANDER DESCENT - not being a health assessment of a patient in respect of whom, in the preceding 9 months, a payment has been made under this item or items AA520 or AA525"",575,,,,",
"AA545,""PREPARATION by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) of a GP MANAGEMENT PLAN for a patient (not being a service associated with a service to which items AA584 to AA670 apply)"",295,721,152.5,,",
"AA555,""ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician), to COORDINATE the development of TEAM CARE ARRANGEMENTS for a patient (not being a service associated with a service to which items AA584 to AA670 apply)"",255,723,120.85,,",
"AA565,""ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician), to:",
 | (a) REVIEW a GP MANAGEMENT PLAN prepared by that medical practitioner (or an associated medical practitioner) to which item AA545 applies; or ,
" | (b) COORDINATE a REVIEW of a TEAM CARE ARRANGEMENTS coordinated or prepared by that medical practitioner (or an associated medical practitioner) to which item AA555 applies; (not being a service associated with a service to which items AA584 to AA670 apply)"",148,732,76.15,,",
"AA582,""ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist of consultant physician), to CONTRIBUTE to a multidisciplinary care plan prepared by another provider or to a REVIEW of a multidisciplinary care plan prepared by another provider; (not being a service associated with a service to which items AA583 and AA584 to AA670 apply)"",118,729,74.4,,",
"AA583,""ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician), to CONTRIBUTE to:",
" | (a) a multidisciplinary care plan for a patient in A RESIDENTIAL AGED CARE FACILITY, prepared by that facility, or to a REVIEW of such a plan prepared by such a facility; or ",
" | (b) a multidisciplinary care plan prepared for a resident by another provider before the resident is discharged from a hospital or an approved day-hospital facility, or to a review of such a plan prepared by another provider; (not being a service associated with a service to which items AA584 to AA670 apply)"",118,731,74.4,,",
"AA584,""ATTENDANCE BY A MEDICAL PRACTITIONER (including a general practitioner, but not including a specialist or consultant physician), as a member of a case conference team, TO ORGANISE AND CO- ORDINATE A CASE CONFERENCE, where the conference time is at least 5 minutes, but less than 15 minutes"",166,,,,",
"AA586,""ATTENDANCE BY A MEDICAL PRACTITIONER (including a general practitioner, but not including a specialist or consultant physician), as a member of a case conference team, TO ORGANISE AND CO- ORDINATE A CASE CONFERENCE, where the conference time is at least 15 minutes, but less than 20 minutes"",290,735,74.75,,",
"AA587,""ATTENDANCE BY A MEDICAL PRACTITIONER (including a general practitioner, but not including a specialist or consultant physician), as a member of a case conference team, TO ORGANISE AND CO- ORDINATE A CASE CONFERENCE, where the conference time is at least 20 minutes, but less than 40 minutes"",410,739,127.85,,",
"AA588,""ATTENDANCE BY A MEDICAL PRACTITIONER (including a general practitioner, but not including a specialist or consultant physician), as a member of a case conference team, TO ORGANISE AND CO- ORDINATE A CASE CONFERENCE, where the conference time is at least 40 minutes"",525,743,213.15,,",
"AA649,""ATTENDANCE BY A MEDICAL PRACTITIONER (including a general practitioner, but not including a specialist or consultant physician), as a member of a case conference team, TO PARTICIPATE IN A CASE CONFERENCE (OTHER THAN TO ORGANISE AND CO-ORDINATE THE CONFERENCE), where the conference time is at least 5 minutes, but less than 15 minutes"",99,,,,",
"AA650,""ATTENDANCE BY A MEDICAL PRACTITIONER (including a general practitioner, but not including a specialist or consultant physician), as a member of a case conference team, TO PARTICIPATE IN A CASE CONFERENCE (OTHER THAN TO ORGANISE AND CO-ORDINATE THE CONFERENCE), where the conference time is at least 15 minutes, but less than 20 minutes"",174,747,54.9,,",
"AA660,""ATTENDANCE BY A MEDICAL PRACTITIONER (including a general practitioner, but not including a specialist or consultant physician), as a member of a case conference team, TO PARTICIPATE IN A CASE CONFERENCE (OTHER THAN TO ORGANISE AND CO-ORDINATE THE CONFERENCE), where the conference time is at least 20 minutes, but less than 40 minutes"",235,750,94.1,,",
"AA670,""ATTENDANCE BY A MEDICAL PRACTITIONER (including a general practitioner, but not including a specialist or consultant physician), as a member of a case conference team, TO PARTICIPATE IN A CASE CONFERENCE (OTHER THAN TO ORGANISE AND CO-ORDINATE THE CONFERENCE), where the conference time is at least 40 minutes"",290,758,156.65,,",
"AA800,""Participation by a medical practitioner (including a general practitioner, but not including a specialist or consultant physician) in a DOMICILIARY MEDICATION MANAGEMENT REVIEW (DMMR) for a patient living in the community setting, in which the medical practitioner, with the patient’s consent:  ",
 | (a) assesses the  patient as: ,
 |  (i) having a chronic medical condition or a complex medication regimen; and ,
 |  (ii) not having their therapeutic goals met; and ,
 | (b) following that assessment ,
" |  (i), refers the patient to a community pharmacy or accredited pharmacist for a DMMR, and provides relevant clinical information required for the DMMR and ",
 | (c)discusses with the reviewing pharmacist the results of the DMMR including suggested medication management strategies; and ,
 | (d) develops a written medication management plan following discussion with the patient; and ,
" | (e) provides the written medication management plan to a community pharmacy chosen by the patient. Benefits under this item are payable not more than once in each 12 month period, except where there has been a significant change in the patient's condition or medication regimen requiring a new DMMR"",425,900,163.7,,",
"AA850,""Participation by a medical practitioner (including a general practitioner, but not including a specialist or consultant physician) in a collaborative Residential Medication Management Review (RMMR) for a permanent resident of a residential aged care facility, where the medical practitioner: - discusses and seeks consent for an RMMR from the new or existing resident; - collaborates with the reviewing pharmacist regarding the pharmacy component of the review; - provides input from the resident's Comprehensive Medical Assessment (CMA), or if a CMA has not been undertaken, provides relevant clinical information for the resident's RMMR; - discusses findings of the pharmacist review and proposed medication management strategies with the reviewing pharmacist (unless exceptions apply); - develops and/or revises a written medication plan for the resident; and - consults with the resident to discuss the medication management plan and its implementation.",
" | Benefits under this item are payable for one RMMR service for new residents on admission to a Residential Aged Care Facility and for continuing residents on an as required basis, with a maximum of one RMMR for a resident in any 12 month period, except where there has been significant change in medical condition or medication regimen requiring a new RMMR"",425,903,112.05,,",
"AA901,""NOTE: When billing AMA item AA901 and claiming against Medicare, MBS item 2715 can be claimed if the medical practitioner has successfully completed mental health skills training.   If the mental health skills training has not been completed, MBS item 2700 can be claimed instead",
 | ,
" | PROFESSIONAL ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) of AT LEAST 20 MINUTES BUT LESS THAN 40 MINUTES in duration for the preparation of a GP MENTAL HEALTH TREATMENT PLAN for a patient (not being a service associated with a service to which items AA584 to AA670, or AA910 apply)",
" | "",245,2700,75.8,,",
"AA902,""NOTE: When billing AMA item AA902 and claiming against Medicare, MBS item 2717 can be claimed if the medical practitioner has successfully completed mental health skills training.   If the mental health skills training has not been completed, MBS item 2701 can be claimed instead",
 | ,
" | PROFESSIONAL ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) of AT LEAST 40 MINUTES in duration for the preparation of a GP MENTAL HEALTH TREATMENT PLAN for a patient (not being a service associated with a service to which items AA584 to AA670, or AA910 apply)",
" | "",365,2701,111.6,,",
"AA905,""PROFESSIONAL ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) to REVIEW a GP MENTAL HEALTH TREATMENT PLAN prepared by that medical practitioner (or an associated medical practitioner) to which item AA901 or AA902 (treatment plan) applies, or to review a Psychiatrist Assessment and Management Plan (not being a service associated with a service to which items AA584 to AA670, or AA910 apply)"",240,2712,75.8,,",
"AA910,""PROFESSIONAL ATTENDANCE by a GENERAL PRACTITIONER in relation to a MENTAL DISORDER and of AT LEAST 20 MINUTES in duration, involving taking relevant history and identifying the presenting problem (to the extent not previously recorded), providing treatment and advice and, if appropriate, referral for other services or treatments, and documenting the outcomes of the consultation"",205,2713,75.8,,",
"AA916,""NOTE: When billing AMA item AA916 and claiming against Medicare, MBS item 90252 can be claimed if the medical practitioner has successfully completed mental health skills training.   If the mental health skills training has not been completed, MBS item 90250 can be claimed instead. ",
 | ,
" | PROFESSIONAL ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) to PREPARE an EATING DISORDER TREATMENT AND MANAGEMENT PLAN, lasting AT LEAST 20 MINUTES BUT LESS THAN 40 MINUTES"",245,90250,75.8,,",
"AA917,""NOTE: When billing AMA item AA917 and claiming against Medicare, MBS item 90253 can be claimed if the medical practitioner has successfully completed mental health skills training.   If the mental health skills training has not been completed, MBS item 90251 can be claimed instead. ",
 | ,
" | PROFESSIONAL ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) to PREPARE an EATING DISORDER TREATMENT AND MANAGEMENT PLAN, lasting AT LEAST 40 MINUTES"",365,90251,111.6,,",
"AA925,""PROFESSIONAL ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) to REVIEW an EATING DISORDER TREATMENT AND MANAGEMENT PLAN."",240,90264,75.8,,",
"AA930,""PROFESSIONAL ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician), to provide treatment under an EATING DISORDER TREATMENT AND MANAGEMENT PLAN, lasting AT LEAST 30 MINUTES BUT LESS THAN 40 MINUTES."",205,90271,98.05,,",
"AA935,""PROFESSIONAL ATTENDANCE by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician) to provide treatment under an EATING DISORDER TREATMENT AND MANAGEMENT PLAN, lasting AT LEAST 40 MINUTES."",290,90273,140.3,,",
"AA950,""NOTE: When claiming this service against the MBS, it is a legislative requirement that the practitioner is registered with the Chief Executive Medicare as meeting the credentialing requirements for provision of this service.",
 | ,
" | PROFESSIONAL ATTENDANCE AT CONSULTING ROOMS by a MEDICAL PRACTITIONER (including A GENERAL PRACTITIONER, but not including a specialist or consultant physician), for providing FOCUSED PSYCHOLOGICAL STRATEGIES for assessed mental disorders, and lasting AT LEAST 30 MINUTES, BUT LESS THAN 40 MINUTES",
" | "",275,,,,",
"AA952,""NOTE: When claiming this service against the MBS, it is a legislative requirement that the practitioner is registered with the Chief Executive Medicare as meeting the credentialing requirements for provision of this service.",
 | ,
" | PROFESSIONAL ATTENDANCE AT A PLACE OTHER THAN CONSULTING ROOMS by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician), for providing FOCUSED PSYCHOLOGICAL STRATEGIES for assessed mental disorders, and lasting AT LEAST 30 MINUTES, BUT LESS THAN 40 MINUTES",
" | "",335,,,,",
"AA954,""NOTE: When claiming this service against the MBS, it is a legislative requirement that the practitioner is registered with the Chief Executive Medicare as meeting the credentialing requirements for provision of this service.",
 | ,
" | PROFESSIONAL ATTENDANCE AT CONSULTING ROOMS by a MEDICAL PRACTITIONER (including a GENERAL PRACTITIONER, but not including a specialist or consultant physician), for providing FOCUSED PSYCHOLOGICAL STRATEGIES for assessed mental disorders, and lasting AT LEAST 40 MINUTES",
" | "",385,,,,",
"AA956,""NOTE: When claiming this service against the MBS, it is a legislative requirement that the practitioner is registered with the Chief Executive Medicare as meeting the credentialing requirements for provision of this service.",
 | ,
